# Input: edgeList.txt
# Nodes: 159    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.003715
# Communities: 72
# NId	CommunityId
1	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
63	0
64	0
66	0
71	0
73	0
74	0
75	0
76	0
77	0
80	0
81	0
82	0
83	0
84	0
87	0
89	0
90	0
91	0
92	0
96	0
97	0
98	0
102	0
108	0
110	0
115	0
117	0
127	0
162	1
163	1
161	2
160	3
156	4
155	5
154	6
153	7
152	8
151	9
150	10
149	11
147	12
146	13
145	14
144	15
143	16
142	17
141	18
140	19
139	20
138	21
137	22
136	23
135	24
134	25
133	26
131	27
130	28
129	29
128	30
126	31
125	32
124	33
123	34
122	35
121	36
120	37
119	38
118	39
116	40
114	41
113	42
112	43
111	44
109	45
107	46
106	47
105	48
104	49
103	50
101	51
100	52
99	53
95	54
94	55
93	56
88	57
86	58
85	59
79	60
78	61
72	62
70	63
69	64
68	65
67	66
65	67
62	68
48	69
2	70
0	71
