# Input: ./edgelist
# Nodes: 404    Edges: 0
# Algoritm: Girvan-Newman
# Modularity: 0.807046
# Communities: 38
# NId	CommunityId
9	0
231	0
327	0
415	0
435	0
436	0
442	0
471	0
477	0
723	0
1236	0
1298	0
1332	0
1333	0
1343	0
1375	0
1386	0
1387	0
1539	0
1544	0
1566	0
1570	0
2284	0
2289	0
2292	0
4681	0
4689	0
5294	0
1000001	0
1000003	0
1000007	0
1000008	0
1000011	0
1000017	0
1000018	0
1000027	0
1000034	0
1000035	0
1000038	0
1000047	0
1000049	0
1000051	0
1000057	0
1000071	0
1000072	0
1000074	0
1000098	0
1000114	0
1000134	0
1000136	0
1000141	0
4	1
20	1
31	1
32	1
37	1
71	1
72	1
79	1
101	1
109	1
122	1
141	1
157	1
173	1
176	1
188	1
219	1
274	1
286	1
291	1
319	1
348	1
358	1
375	1
572	1
844	1
938	1
940	1
968	1
990	1
1013	1
1040	1
1229	1
1235	1
1253	1
1988	1
2031	1
2963	1
3411	1
4467	1
5684	1
6286	1
1000005	1
1000036	1
525	2
526	2
527	2
529	2
535	2
538	2
551	2
553	2
556	2
563	2
564	2
565	2
567	2
569	2
576	2
1431	2
1444	2
1446	2
1449	2
1458	2
2349	2
2354	2
3094	2
3102	2
3105	2
3678	2
3683	2
3685	2
7414	2
1000043	2
179	3
688	3
698	3
702	3
711	3
749	3
1222	3
1353	3
1418	3
1421	3
1564	3
1651	3
2331	3
3078	3
4262	3
4696	3
4711	3
5311	3
1000012	3
1000015	3
1000020	3
1000023	3
1000062	3
1000076	3
1000081	3
481	4
486	4
487	4
489	4
491	4
494	4
496	4
497	4
498	4
1324	4
1393	4
1397	4
1399	4
1401	4
8278	4
8294	4
1000033	4
502	5
503	5
505	5
508	5
509	5
1411	5
1412	5
1413	5
1414	5
1416	5
2221	5
3072	5
3073	5
4707	5
1000094	5
800	6
801	6
803	6
805	6
806	6
807	6
809	6
812	6
813	6
1812	6
1818	6
6057	6
6058	6
1000065	6
268	7
631	7
632	7
779	7
780	7
794	7
796	7
797	7
1120	7
1786	7
3799	7
1000032	7
1000044	7
1000095	7
256	8
392	8
402	8
405	8
406	8
407	8
409	8
1283	8
1293	8
1296	8
1297	8
1300	8
2261	8
1000058	8
353	9
382	9
449	9
680	9
682	9
786	9
1355	9
1370	9
5493	9
1000026	9
1000031	9
1000037	9
1000039	9
694	10
761	10
763	10
767	10
768	10
770	10
772	10
776	10
4298	10
6034	10
1000066	10
655	11
665	11
668	11
669	11
1579	11
1580	11
1581	11
2461	11
3186	11
3744	11
1000061	11
612	12
1377	12
1492	12
1503	12
1505	12
1525	12
2423	12
2991	12
7449	12
1000042	12
1000073	12
588	13
727	13
1679	13
2293	13
2527	13
3085	13
3131	13
3248	13
4279	13
4851	13
1000097	13
636	14
1276	14
1277	14
1532	14
1534	14
1537	14
4774	14
5385	14
1000050	14
1000084	14
451	15
453	15
455	15
457	15
458	15
459	15
460	15
2300	15
4173	15
1000078	15
1365	16
1673	16
3163	16
4718	16
4776	16
1000059	16
1000088	16
1000096	16
1000131	16
1257	17
1382	17
1599	17
1602	17
2468	17
2469	17
3042	17
5832	17
1000116	17
571	18
820	18
823	18
836	18
1820	18
1822	18
1841	18
3868	18
1000045	18
743	19
748	19
1687	19
1689	19
1690	19
3263	19
4283	19
1000079	19
425	20
684	20
685	20
1608	20
1610	20
3203	20
5963	20
1000085	20
411	21
414	21
416	21
1303	21
1313	21
1314	21
1000041	21
114	22
168	22
515	22
1426	22
3088	22
4714	22
1000014	22
857	23
1471	23
2389	23
2390	23
1000040	23
676	24
677	24
1594	24
7911	24
1000055	24
1661	25
2392	25
6002	25
1000075	25
1588	26
1591	26
4804	26
1000104	26
26	27
759	27
3806	27
1000048	27
2295	28
2296	28
1000137	28
1595	29
4141	29
1000092	29
1490	30
7447	30
1000068	30
788	31
789	31
1000063	31
3305	32
1000119	32
1362	33
1000009	33
799	34
1000019	34
751	35
1000090	35
644	36
1000099	36
385	37
1000006	37
