# Input: edgeList.txt
# Nodes: 159    Edges: 3072
# Algoritm: Infomap
# Average code length: 124.467622
# Communities: 27
# NId	CommunityId
12	0
36	0
21	0
14	0
52	0
113	0
160	0
39	1
19	1
105	1
32	2
31	2
37	2
34	2
40	2
2	2
23	3
83	3
41	3
61	3
103	3
1	4
60	4
22	4
3	4
11	4
33	4
84	4
18	4
30	4
89	4
73	4
15	4
38	4
27	4
74	4
6	4
76	4
118	4
98	4
143	4
20	5
45	5
5	5
64	5
150	5
69	5
130	5
125	5
151	5
65	6
156	6
136	7
134	7
135	7
49	8
35	8
50	8
44	8
59	8
0	8
88	8
93	8
131	8
140	8
152	8
58	9
62	9
48	9
139	9
47	10
63	10
28	10
26	10
51	10
9	10
17	11
7	11
72	11
71	11
81	11
108	12
85	12
68	12
67	12
25	13
96	13
8	13
127	13
10	13
90	13
56	13
53	13
55	13
91	13
102	13
54	13
115	13
153	13
46	13
106	13
75	13
82	13
154	13
155	13
110	13
117	13
95	13
112	13
104	14
121	14
146	14
145	14
122	14
144	14
124	14
123	14
66	14
80	14
70	14
161	14
77	15
29	15
141	15
119	16
79	16
86	16
92	17
111	17
133	17
57	18
114	18
24	19
78	19
142	19
94	19
97	20
126	20
99	20
42	21
100	21
128	21
43	22
138	22
147	22
116	23
120	23
149	23
137	24
16	24
13	24
109	24
87	25
4	25
129	25
101	25
107	26
163	26
162	26
