# Input: ./edgeList.txt
# Nodes: 404    Edges: 451
# Algoritm: Infomap
# Average code length: 137.099480
# Communities: 61
# NId	CommunityId
1000005	0
20	0
31	0
32	0
37	0
71	0
79	0
101	0
109	0
122	0
141	0
157	0
173	0
176	0
188	0
219	0
274	0
286	0
291	0
319	0
348	0
358	0
375	0
572	0
844	0
938	0
940	0
968	0
990	0
1013	0
1040	0
1229	0
1253	0
1988	0
2031	0
2963	0
4467	0
5684	0
6286	0
1000034	1
231	1
435	1
1332	1
1333	1
4681	1
9	2
1000001	2
436	2
442	2
1000036	3
72	3
3411	3
1000020	4
688	4
702	4
711	4
1235	4
1418	4
1564	4
1651	4
1000012	5
749	5
1353	5
1421	5
2331	5
3078	5
4711	5
5311	5
256	6
1000058	6
392	6
402	6
405	6
406	6
407	6
409	6
1283	6
1293	6
1296	6
1297	6
1300	6
2261	6
268	7
1000044	7
794	7
3799	7
1000073	8
1377	8
2423	8
1000075	9
1661	9
2392	9
6002	9
385	10
1000006	10
415	11
1000050	11
636	11
1276	11
1532	11
1534	11
1537	11
3088	11
4774	11
5385	11
1000049	12
1343	12
1539	12
1566	12
1570	12
4689	12
425	13
1000085	13
684	13
685	13
1608	13
1610	13
3203	13
5963	13
1000042	14
612	14
1492	14
1503	14
1505	14
1525	14
2991	14
7449	14
449	15
1000039	15
682	15
1355	15
1370	15
451	16
1000078	16
453	16
455	16
457	16
458	16
459	16
460	16
2300	16
4173	16
1000032	17
631	17
632	17
796	17
1120	17
502	18
1000094	18
503	18
505	18
508	18
509	18
1411	18
1412	18
1413	18
1414	18
1416	18
2221	18
3072	18
3073	18
4707	18
525	19
1000043	19
526	19
527	19
529	19
535	19
538	19
551	19
553	19
556	19
563	19
564	19
565	19
567	19
569	19
576	19
1431	19
1444	19
1446	19
1449	19
1458	19
2349	19
2354	19
3094	19
3102	19
3105	19
3678	19
3683	19
3685	19
7414	19
588	20
1000097	20
727	20
1679	20
2293	20
2527	20
3085	20
3131	20
3248	20
4279	20
4851	20
644	21
1000099	21
655	22
1000061	22
665	22
668	22
669	22
1579	22
1580	22
1581	22
2461	22
3186	22
3744	22
676	23
1000055	23
677	23
1594	23
7911	23
1000026	24
382	24
694	25
1000066	25
761	25
763	25
767	25
768	25
770	25
772	25
776	25
4298	25
6034	25
698	26
1000062	26
743	27
1000079	27
748	27
1687	27
1689	27
1690	27
3263	27
4283	27
751	28
1000090	28
779	29
1000095	29
780	29
797	29
1786	29
788	30
1000063	30
789	30
799	31
1000019	31
857	32
1000040	32
1471	32
2389	32
2390	32
1000081	33
4696	33
1236	34
1000114	34
1000057	34
1277	35
1000084	35
1000015	36
1000027	36
179	36
1000003	36
1000018	36
1222	36
1000023	36
1298	36
1000038	36
1000007	36
1000008	36
411	37
1000041	37
414	37
416	37
1303	37
1313	37
1314	37
1362	38
1000009	38
1365	39
1000088	39
1000096	39
327	40
1000011	40
1000071	40
1000072	40
1000074	40
471	40
723	40
1375	40
1000035	41
477	41
1386	41
1387	42
1000098	42
1490	43
1000068	43
7447	43
1588	44
1000104	44
1591	44
4804	44
1595	45
1000092	45
4141	45
1673	46
1000131	46
571	47
1000045	47
820	47
823	47
836	47
1820	47
1822	47
1841	47
3868	47
2289	48
1000017	49
1544	49
2292	49
1000134	49
1000136	49
2295	50
1000137	50
2296	50
1257	51
1000116	51
1382	51
1599	51
1602	51
2468	51
2469	51
3042	51
5832	51
515	52
1000059	52
3163	52
4718	52
4776	52
3305	53
1000119	53
26	54
1000048	54
759	54
3806	54
4262	55
1000076	55
114	56
1000014	56
168	56
1426	56
4714	56
1000047	57
2284	57
5294	57
1000141	57
1000051	57
1000031	58
353	58
680	58
1000037	58
786	58
5493	58
800	59
1000065	59
801	59
803	59
805	59
806	59
807	59
809	59
812	59
813	59
1812	59
1818	59
6057	59
6058	59
4	60
1000033	60
481	60
486	60
487	60
489	60
491	60
494	60
496	60
497	60
498	60
1324	60
1393	60
1397	60
1399	60
1401	60
8278	60
8294	60
